"id","id2","geography","population","population.moe","mpop","mpop.moe","fpop","fpop.moe","white","white.moe","black","black.moe","ind.alaska","ind.alaska.moe","asian","asian.moe","hawaiian","hawaiian.moe","other","other.moe","two.races","two.races.moe","hispanic","hispanic.moe","fam.houses","fam.houses.moe","married.fams","married.fams.moe","nonfam.houses","nonfam.houses.moe","highschool","highschool.moe","ged","ged.moe","less1yr.college","less1yr.college.moe","some.college","some.college.moe","associates","associates.moe","bachelors","bachelors.moe","masters","masters.moe","professional","professional.moe","doctorate","doctorate.moe","med.income","med.income.moe","pc.income","pc.income.moe","poverty","poverty.moe","med.home.val","med.home.val.moe","m.18to19","m.18to19.moe","m.20","m.20.moe","m.21","m.21.moe","m.22to24","m.22to24.moe","m.25to29","m.25to29.moe","m.30to34","m.30to34.moe","m.35to39","m.35to39.moe","m.40to44","m.40to44.moe","m.45to49","m.45to49.moe","m.50to54","m.50to54.moe","m.55to59","m.55to59.moe","m.60to61","m.60to61.moe","m.62to64","m.62to64.moe","m.65to66","m.65to66.moe","m.67to69","m.67to69.moe","m.70to74","m.70to74.moe","m.75to79","m.75to79.moe","m.80to84","m.80to84.moe","m.85up","m.85up.moe","f.18to19","f.18to19.moe","f.20","f.20.moe","f.21","f.21.moe","f.22to24","f.22to24.moe","f.25to29","f.25to29.moe","f.30to34","f.30to34.moe","f.35to39","f.35to39.moe","f.40to44","f.40to44.moe","f.45to49","f.45to49.moe","f.50to54","f.50to54.moe","f.55to59","f.55to59.moe","f.60to61","f.60to61.moe","f.62to64","f.62to64.moe","f.65to66","f.65to66.moe","f.67to69","f.67to69.moe","f.70to74","f.70to74.moe","f.75to79","f.75to79.moe","f.80to84","f.80to84.moe","f.85up","f.85up.moe","pc_high_school_graduates_25older","pc_not_high_school_graduates_16to19","jobless_16_19","median_size_over_3"
"1500000US390610002001",3.9061e+11,"Block Group 1, Census Tract 2, Hamilton County, Ohio",1055,153,524,106,531,103,35,27,996,152,0,11,0,11,0,11,5,8,19,21,4,6,189,42,12,11,325,47,217,77,49,31,92,51,92,48,31,22,5,8,13,20,0,11,0,11,"18883","2785",11611,1830,131,39,"-","**",3,8,19,30,0,11,40,50,12,14,38,39,33,26,43,36,14,20,41,30,43,28,3,6,0,11,23,20,20,21,0,11,22,20,10,13,0,11,24,21,0,11,0,11,48,37,67,41,26,24,8,10,15,19,0,11,17,20,62,39,6,9,52,32,21,20,29,19,6,10,9,12,0,11,0,11,0.804838709677419,0.107142857142857,0.604166666666667,1
"1500000US390610007001",3.9061e+11,"Block Group 1, Census Tract 7, Hamilton County, Ohio",293,77,176,62,117,58,229,86,38,35,0,11,14,19,0,11,0,11,12,18,13,19,25,25,17,25,114,39,41,33,13,14,9,16,24,24,0,11,71,39,37,28,0,11,0,11,"63977","54524",39284,13503,17,25,"-","**",2,4,0,11,0,11,57,52,7,9,34,33,11,17,35,28,2,4,11,17,0,11,0,11,0,11,0,11,0,11,0,11,17,25,0,11,0,11,0,11,0,11,26,39,0,11,12,19,20,24,14,19,11,18,0,11,9,14,0,11,0,11,0,11,0,11,17,25,0,11,0,11,0,11,8,12,0.9375,0,1,1
"1500000US390610007002",3.9061e+11,"Block Group 2, Census Tract 7, Hamilton County, Ohio",730,111,376,92,354,81,612,109,51,36,0,11,56,46,0,11,0,11,11,17,7,12,33,27,30,26,555,75,106,57,0,11,36,28,31,28,41,34,199,68,106,55,128,58,10,16,"64554","7268",60594,14534,0,11,"-","**",0,11,0,11,0,11,18,20,132,55,47,36,23,24,21,22,9,14,61,33,9,13,11,18,8,12,0,11,11,16,9,13,17,17,0,11,0,11,0,11,0,11,0,11,41,32,47,38,32,29,66,41,22,25,25,23,7,12,25,27,9,14,17,18,11,16,10,16,10,16,0,11,0,11,18,20,1,0,0,1
"1500000US390610007003",3.9061e+11,"Block Group 3, Census Tract 7, Hamilton County, Ohio",510,106,300,73,210,73,413,108,53,30,0,11,21,24,0,11,13,21,10,14,47,46,63,34,54,31,293,51,33,24,0,11,19,21,18,19,10,17,208,78,45,35,33,28,16,24,"86974","33640",65226,14881,0,11,"284400","106642",0,11,0,11,0,11,20,31,74,40,22,25,18,18,0,11,28,25,0,11,15,20,19,20,8,13,0,11,31,27,10,17,18,20,20,22,0,11,0,11,0,11,0,11,30,28,47,36,0,11,34,26,11,17,9,14,16,18,9,14,19,20,0,11,0,11,0,11,0,11,23,26,0,11,0,11,0.88631090487239,0,0,1
"1500000US390610009001",3.9061e+11,"Block Group 1, Census Tract 9, Hamilton County, Ohio",633,167,429,130,204,64,444,120,166,99,0,11,0,11,0,11,0,11,23,33,37,39,104,38,63,31,166,45,101,90,5,7,12,10,19,21,21,21,151,59,91,41,29,18,0,11,"66786","51930",41043,12053,19,22,"415000","162886",22,28,0,11,5,12,15,15,25,25,46,41,44,24,12,16,36,24,30,26,59,36,25,26,11,14,15,14,3,5,6,12,0,11,0,11,10,15,0,11,0,11,0,11,7,11,42,27,34,18,17,22,6,9,21,17,6,9,14,16,6,8,0,11,4,5,0,11,0,11,16,18,0,11,0,11,0.879098360655738,0,1,1
"1500000US390610009002",3.9061e+11,"Block Group 2, Census Tract 9, Hamilton County, Ohio",1111,252,629,224,482,113,708,174,359,198,9,12,10,16,0,11,0,11,25,31,128,98,122,39,81,29,247,60,133,101,46,42,29,32,82,52,47,31,168,73,57,34,23,26,29,29,"29554","9787",27424,8293,50,30,"278000","40740",2,4,2,4,25,50,26,24,71,33,49,36,19,20,45,42,42,46,69,61,72,45,22,37,5,8,12,17,21,31,0,11,12,24,0,11,0,11,25,30,2,4,0,11,66,45,32,28,95,58,28,22,37,30,17,24,31,30,40,37,3,6,0,11,9,11,0,11,0,11,0,11,7,10,0,11,0.831978319783198,0,0.37037037037037,1
"1500000US390610010001",3.9061e+11,"Block Group 1, Census Tract 10, Hamilton County, Ohio",481,203,231,135,250,117,217,84,239,183,0,11,6,9,0,11,19,18,0,11,3,7,74,48,14,15,229,66,57,62,0,11,39,31,32,35,6,10,106,57,41,24,7,11,0,11,"-","**",26784,12057,54,45,"325000","51584",0,11,0,11,0,11,0,11,46,41,40,35,45,61,11,12,0,11,9,10,16,23,11,12,4,7,0,11,0,11,0,11,0,11,0,11,0,11,7,10,0,11,0,11,6,8,56,30,18,17,6,9,22,35,0,11,23,32,22,36,0,11,0,11,0,11,0,11,9,15,19,18,0,11,0,11,0.80672268907563,0,0,1
"1500000US390610010002",3.9061e+11,"Block Group 2, Census Tract 10, Hamilton County, Ohio",1013,188,540,110,473,116,630,123,259,144,0,11,48,37,0,11,7,11,69,62,77,54,184,73,161,76,371,77,40,32,4,7,11,11,107,60,30,39,270,66,118,44,94,70,59,61,"73147","24343",50663,8248,23,23,"244800","56393",0,11,5,7,8,11,26,22,101,52,122,56,50,31,30,36,4,7,35,33,37,28,9,12,23,18,9,12,17,28,0,11,7,13,0,11,0,11,0,11,0,11,0,11,26,19,102,40,75,27,38,31,5,10,50,48,6,9,15,15,14,15,5,9,0,11,20,31,0,11,7,14,0,11,0,11,0.93854033290653,0,0,1
"1500000US390610011001",3.9061e+11,"Block Group 1, Census Tract 11, Hamilton County, Ohio",865,146,448,124,417,102,328,87,501,138,0,11,23,36,0,11,0,11,13,15,8,12,182,52,74,31,299,63,53,42,14,14,4,6,76,43,19,15,182,60,70,32,31,32,0,11,"31544","17930",30729,6510,81,35,"254000","58349",6,10,17,26,0,11,24,23,97,56,27,18,13,16,6,8,27,24,8,9,44,27,16,16,10,11,0,11,15,23,4,5,0,11,0,11,0,11,0,11,7,11,0,11,40,33,95,42,62,39,39,29,24,22,26,16,4,6,16,25,6,9,3,4,0,11,9,12,5,8,0,11,0,11,5,7,0.800356506238859,1,1,1
"1500000US390610016001",3.9061e+11,"Block Group 1, Census Tract 16, Hamilton County, Ohio",555,147,247,87,308,84,150,80,341,89,1,3,0,11,0,11,0,11,63,66,21,30,108,40,29,19,155,53,70,52,54,25,25,23,59,33,37,26,30,29,49,36,0,11,2,4,"17109","8732",13828,3404,28,33,"-","**",0,11,0,11,1,3,17,18,29,30,0,11,20,17,8,10,32,30,1,3,18,21,10,15,2,4,2,4,29,11,3,4,1,3,4,6,2,4,3,6,9,13,0,11,17,21,39,26,16,26,48,28,10,17,10,15,17,19,18,15,0,11,0,11,0,11,0,11,32,31,0,11,0,11,0,11,0.928774928774929,1,1,1
