"SNA_NAME","Commercial","Downtown","Manufacturing","Office","OtherResidential","Planned Development","Recreation","Riverfront","SingleFamily","Urban Mixed"
"Avondale",0.0572946144385016,0,0.0371221398081176,0.0314298111542807,0.455587089607082,0.0198489280475704,0.100656803793005,0,0.29798825470578,0
"Bond Hill",0.116657783303471,0,0.263428032823939,0,0.0992033765925623,0.0563250296014064,0.00158778680732795,0,0.456518993249097,0
"California",0.0170816893187837,0,0,0,0.0139082815567051,0,0.272392731743723,0.386674234803102,0.309460967465034,0
"Camp Washington",0.0504930781997164,0,0.886623381177644,0.00662328041606219,0.0292636963210407,0.00269196247317735,0.00736478935579445,0,0.0169397577068742,0
"Carthage",0.12924788811393,0,0.414195571490603,0,0.00908675769066593,0.00281469558530002,0.0705585771586537,0,0.37078095090942,0
"Clifton",0.0533704600378297,0,0.0744555260146039,0.00777263495771365,0.131163366147944,0.0187034188091625,0.0855062109648827,0,0.628935533210431,0
"College Hill",0.0125707887948879,0,0.0638054915377916,0,0.14511882919613,0.018861597360351,0.126207723769986,0,0.632071700387234,0
"Columbia Tusculum",0.0156281399210015,0,0,0,0.0674153425114671,0.0038712310686647,0.314035801702951,0,0.599049484795916,0
"Corryville",0.106229389224266,0,0,0.148743636500619,0.65365097974609,0.0688952823705772,0.0224767240792046,0,0,0
"CUF",0.0589965896061064,0,0.0049590385045033,0.0257992946118204,0.490959519557275,0.0124847890917899,0.182612556432231,0,0.213588442352358,0.0105988452810995
"Downtown",0.0208946019713727,0.671276009669604,0.0891744837175376,0,0,0.13765103533298,0.0464743433427742,0.0345272612298215,0,0
"East End",0.0829216558391817,0.0169404339758714,0.118176317438483,0,0.127750652614592,0.0591886600810431,0.146784667344631,0.373583847991874,0.0746504439638469,0
"East Price Hill",0.051404355952721,0,0.0613129672819465,0,0.233218121828821,0.0043692622178023,0.0458215838149304,0,0.603855465663082,0
"East Walnut Hills",0.047146997437085,0,0,0.083028665600976,0.341240278794012,0.0146953285262891,0.0584721747507631,0,0.455416521216824,0
"East Westwood",0.00639981403070479,0,0,1.36468514555371e-05,0.211974658831434,0,0.0298167651155146,0,0.751792997345442,0
"English Woods",0.0259931998434832,0,0,0,0.95920457778718,0,0,0,0.0148022223693372,0
"Evanston",0.0378017205002864,0,0.0609579178945173,0,0.310385752280828,0.0292572457763329,0.0590824100195646,0,0.501765349072913,0
"Hartwell",0.202342231426672,0,0.0224307872398568,0.00127876054952697,0.394157300546761,0,0.0174939816733427,0,0.356975583748874,0
"Hyde Park",0.0309781862572749,0,0,0.00557324572628152,0.0763657940874168,0.00517801425525905,0.0148701181495024,0,0.866319779597701,0
"Kennedy Heights",0.0448703460163281,0,0,0,0.153035320353165,0,0.135352105171307,0,0.665921704306511,0
"Linwood",0.0300980784100503,0,0.384095144618686,0.0157068668393317,0.0154965873456038,0,0.313401858201792,0.21720055341634,0.0239731264762448,0
"Lower Price Hill",0.0433817385923191,0,0.780049173606739,0,0.0784651796732464,0,0.0423313142106074,0.0333914108739871,0.0223673118006626,0
"Madisonville",0.0557405526837439,0,0.201661973485386,0.00661803301556035,0.176487962197883,0.0449554391522796,0.0232980156007345,0,0.485760633273575,0
