Name,Address,Latitude,Longitude
Downtown (District 1 Head Quarters): Company 3,"386 E 9th St, Cincinnati, OH 45202",39.107151,-84.507658
Downtown - Fire Head Quarters: Company 14,"430 Central Ave, Cincinnati, OH 45202",39.100271,-84.518984
Over the Rhine: Company 5,"8 E McMicken Ave, Cincinnati, OH 45202",39.116997,-84.516559
Corryville: Company 19,"2814 Vine St, Cincinnati, OH 45219",39.132346,-84.508796
Walnut Hills: Company 23,"1623 Madison Rd, Cincinnati, OH 45206",39.12957,-84.475714
Clifton: Company 34,"301 Ludlow Ave, Cincinnati, OH 45220",39.143645,-84.519446
Lower Price Hill (District 2 Head Quarters): Company 17,"2101 Eighth St W, Cincinnati, OH 45204",39.105133,-84.551051
Price Hill: Company 24,"4526 Glenway Ave, Cincinnati, OH 45205",39.113697,-84.589968
Fairmount: Company 21,"2131 State Ave, Cincinnati, OH 45214",39.132717,-84.543697
West End: Company 29,"592 W Liberty St, Cincinnati, OH 45214",39.114884,-84.527229
Riverside: Company 37,"310 Lilienthal St, Cincinnati, OH 45204",39.082861,-84.584682
Sayler Park: Company 50,"6558 Parkland Ave, Cincinnati, OH 45233",39.116972,-84.690638
Northside (District 3 Head Quarters): Company 20,"1668 Blue Rock St, Cincinnati, OH 45223",39.160923,-84.54277
Bond Hill: Company 9,"4379 Reading Rd, Cincinnati, OH 45229",39.177688,-84.469016
Camp Washington: Company 12,"3001 Spring Grove Ave, Cincinnati, OH 45225",39.136147,-84.541207
Avondale: Company 32,"650 Forest Ave, Cincinnati, OH 45229",39.161041,-84.491714
Westwood: Company 35,"2495 Harrison Ave, Cincinnati, OH 45211",39.157206,-84.583729
Winton Place: Company 38,"730 Circle Ave, Cincinnati, OH 45232",39.185752,-84.517778
College Hill: Company 51,"5801 Hamilton Ave, Cincinnati, OH 45224",39.197348,-84.546674
Oakley (District 4 Head Quarters): Company 31,"4401 Marburg Ave, Cincinnati, OH 45209",39.154681,-84.425272
Hartwell: Company 2,"18 E Seymour Ave, Cincinnati, OH 45216",39.208443,-84.480641
Mt. Washington: Company 7,"2058 Sutton Ave, Cincinnati, OH 45230",39.105912,-84.3923
Pleasant Ridge: Company 8,"5901 Montgomery Rd, Cincinnati, OH 45213",39.180025,-84.434481
Lunken: Company 18,"478 Wilmer Ave, Cincinnati, OH 45226",39.108133,-84.422363
Hyde Park: Company 46,"2731 Erie Ave, Cincinnati, OH 45208",39.147234,-84.441907
Madisonville: Company 49,"5917 Prentice St, Cincinnati, OH 45227",39.166141,-84.393101
