,NEIGHBORHOOD,X1,CASES,POPULATION,FPOP,MPOP25,FPOP25,POP25,MED_HOUSE_INCOME,PER_CAP_INCOME,POVERTY,BACHELORS,WHITE,BLACK,IND_ALASKA,ASIAN,HAWAIIAN,OTHER,TWO_RACES,HISPANIC,PC_BACH,PC_POVERTY,PC_WHITE,PREVALENCE,NeighbArea.x,BuffAreaHalf,PropBuffHalf,BuffAreaQuarter,PropBuffQuarter,bus_count
1,Avondale,1,238,12466,6734,3418,4263,7681,18120,14980,2520,913,932,11111,32,65,4,51,271,142,0.118864731,0.202149848,0.074763356,0.01909193,2.163096655,2.163096655,1,1.88584563,0.871826798,140
2,Bond Hill,2,75,6972,3850,2067,2836,4903,33492,17796,1665,549,322,6449,21,14,2,29,135,73,0.111972262,0.238812392,0.046184739,0.010757315,1.840849853,1.840849853,1,1.549549898,0.841757896,101
3,California,3,8,469,226,178,167,345,61818,69452,107,134,455,2,2,3,0,0,7,2,0.388405797,0.228144989,0.970149254,0.017057569,2.124675846,0.422149985,0.198689125,0.095473109,0.044935377,1
4,Camp Washington,4,171,1343,547,558,354,912,27669,10881,181,48,884,404,5,4,0,7,39,31,0.052631579,0.134772897,0.658227848,0.12732688,1.249374323,1.249374323,1,1.211267061,0.969498923,56
5,Carthage,5,154,2733,1318,943,922,1865,35000,16426,582,174,1805,592,17,43,18,206,52,505,0.093297587,0.212952799,0.660446396,0.056348335,1.248785422,1.132592513,0.906955264,0.846127139,0.677560071,50
6,Clifton,6,59,8304,4161,2833,2816,5649,35834,35138,1644,3300,5990,1398,18,589,8,93,208,345,0.58417419,0.197976879,0.721339114,0.00710501,2.23052812,2.129338063,0.954634036,1.506974148,0.675613158,92
7,College Hill,7,68,14133,7858,4058,5627,9685,40464,23293,3714,2175,4800,8821,30,73,5,59,345,163,0.224574084,0.262789217,0.339630652,0.004811434,3.889331614,3.717840355,0.955907268,2.476159851,0.63665434,186
8,Columbia Tusculum,8,5,1304,640,528,496,1024,104511,60749,464,960,1190,37,1,37,0,13,26,37,0.9375,0.355828221,0.912576687,0.003834356,0.531320329,0.531320329,1,0.410024121,0.771707948,10
9,Corryville,9,91,3327,1464,905,753,1658,18119,15743,386,606,1633,1200,6,373,5,22,88,64,0.365500603,0.116020439,0.490832582,0.027351969,0.518814125,0.518814125,1,0.518814125,1,102
10,CUF,10,152,16989,7477,2984,2263,5247,20650,14537,1351,2578,12356,2675,20,1414,14,136,374,360,0.491328378,0.079522044,0.727294131,0.008946966,1.591269383,1.591269383,1,1.525100068,0.958417276,140
11,Downtown,11,391,4850,1594,2627,1282,3909,45849,33799,331,1428,2933,1544,20,175,2,63,113,216,0.365310821,0.068247423,0.604742268,0.080618557,0.981464009,0.981464009,1,0.98046342,0.998980514,496
12,East End,12,61,1518,768,552,565,1117,45592,40137,324,487,1292,168,5,29,0,2,22,18,0.435989257,0.213438735,0.851119895,0.040184453,1.222146587,1.222146588,1,1.216158272,0.995100166,74
13,East Price Hill,13,597,15340,7856,4187,4567,8754,28425,14586,3536,1131,7973,5876,132,117,85,615,542,1056,0.129198081,0.230508475,0.519752282,0.038917862,3.005701834,2.968231194,0.987533481,2.057459226,0.684518738,99
14,East Walnut Hills,14,22,3794,1990,1366,1550,2916,44103,41769,781,1705,2503,1111,4,81,0,24,71,102,0.584705075,0.205851344,0.659725883,0.005798629,0.710422797,0.710422797,1,0.710117077,0.999569664,44
15,East Westwood,15,26,2445,1348,675,816,1491,27097,13955,574,120,408,1947,4,4,4,23,55,105,0.080482897,0.234764826,0.166871166,0.010633947,0.659578856,0.659578856,1,0.595391049,0.90268365,27
16,English Woods,16,6,405,242,75,117,192,8474,5828,45,9,21,365,1,5,0,0,13,3,0.046875,0.111111111,0.051851852,0.014814815,0.17838279,0.17838279,1,0.17838279,1,22
17,Evanston,17,51,9158,4906,2041,2693,4734,23637,19416,1621,1123,2572,6212,15,66,0,105,188,206,0.23722011,0.177003713,0.280847347,0.005568902,1.38259696,1.38259696,1,1.305097691,0.943946594,70
18,Hartwell,18,93,4640,2503,1456,1803,3259,33021,24153,864,841,2604,1676,14,93,3,81,169,238,0.258054618,0.186206897,0.561206897,0.020043103,1.223597435,0.855203007,0.698925139,0.695724828,0.568589643,32
19,Hyde Park,19,25,13356,7042,4583,5136,9719,74053,54692,2820,7856,12124,466,16,417,4,80,249,312,0.808313613,0.21114106,0.907756813,0.001871818,2.904665939,2.824880367,0.972531928,2.137048893,0.735729663,136
