"bg","bgArea","ParkArea","PropPark"
"390610002001",307022.792676657,33367.3313103495,0.108680306824941
"390610007001",98296.1102601439,NA,0
"390610007002",292401.054359958,NA,0
"390610007003",388275.709504887,8293.69851726294,0.0213603331710827
"390610009001",136086.951281548,NA,0
"390610009002",164847.211832166,22467.9106450006,0.136295363417342
"390610010001",75769.8527381718,NA,0
"390610010002",171737.259342223,NA,0
"390610011001",373677.628016815,508.10757461749,0.00135974844765025
"390610016001",128374.225399375,NA,0
"390610016002",222122.92546859,NA,0
"390610017001",226333.292431436,NA,0
"390610018001",249438.384654507,35776.6418882703,0.143428774756636
"390610018002",296897.021905437,11209.8866910953,0.0377568175630462
"390610019001",400586.626239687,139642.782303783,0.34859571727247
"390610019002",810709.304937743,598378.287266989,0.73809228982877
"390610020001",361599.667648397,16859.4112564061,0.0466245208853438
"390610020002",184317.91616673,6.15855145454407,3.3412657774262e-05
"390610022001",181846.935586244,NA,0
"390610022002",219111.748323362,NA,0
"390610022003",219253.357189896,NA,0
"390610023001",653559.449357526,147468.463488698,0.225638943226458
"390610025001",264764.916876368,NA,0
"390610025002",215958.649401546,62033.2543953707,0.287245982354836
"390610026001",270766.461554103,NA,0
"390610026002",293262.833098292,6598.5811793782,0.0225005709372199
"390610027001",555619.074329417,153368.070661961,0.27603096752404
"390610028001",1773893.77763617,77230.1960157562,0.0435371029479964
"390610028002",1451964.63311556,NA,0
"390610029001",338402.500140011,60820.8686600815,0.179729371487851
"390610029002",450152.967266293,NA,0
"390610029003",396040.819538832,22147.7812875761,0.055922976104751
"390610030001",524610.447348444,184025.685300802,0.350785399396694
"390610030002",303523.475304231,47233.2511424632,0.155616467869972
"390610030003",528049.245868556,194203.812529018,0.367775949020784
"390610032001",815836.964429379,3808.69910478778,0.00466845616323808
"390610033001",265809.543837756,139.769670686219,0.000525826381807913
"390610033002",266376.282541797,9417.40441062453,0.0353537646849128
"390610036001",423129.852468282,155743.059656357,0.368073910994099
"390610036002",313335.157366082,NA,0
"390610037001",498662.618387334,20499.2944301995,0.0411085444834302
"390610037002",158564.629281379,15800.6015028118,0.0996477056353657
"390610038001",489484.620721988,15467.0796940118,0.0315987041047334
"390610038002",382473.557598323,118286.026279345,0.309265892842638
"390610038003",343965.154568002,107343.018889614,0.31207527118388
"390610039001",115385.383168027,329.18363006413,0.00285290581030324
"390610039002",165224.17524961,NA,0
"390610039003",266809.501552112,35297.4559971101,0.132294598924604
"390610040001",626277.735000267,45139.9068907113,0.0720764995592443
"390610040002",504374.586343494,26854.7655170001,0.0532436927714498
"390610041001",318079.132638589,45289.2251895257,0.142383515742872
"390610041002",436300.951857649,51892.1235488258,0.118936535269711
"390610042001",518855.335024908,39635.2276275299,0.0763897467212652
"390610042002",378542.905674905,19976.5476152471,0.0527722150270677
"390610045001",6638014.11231027,2158656.93330923,0.325196195245499
"390610046021",1554271.32873258,268530.896058963,0.172769638797838
"390610046022",398015.87324487,48121.4429637662,0.12090332622026
"390610046023",1687196.50037333,NA,0
"390610046031",778105.282616142,44534.2167823459,0.0572341786867365
"390610046032",877974.80764804,23603.901903575,0.0268844865455835
"390610046041",710787.317190038,61632.3454166604,0.0867099678428593
"390610046043",847653.203449905,135306.939045417,0.159625349724068
"390610046051",1016219.15977507,449661.958076081,0.44248521960126
"390610046052",3698023.65868612,647218.104165227,0.175017296778242
"390610047011",1352782.43402623,415240.257957664,0.306952727588132
"390610047012",1081316.11837304,83883.2293134591,0.0775751215469445
"390610047021",11309409.785392,4582860.58848985,0.405225442835168
"390610048001",1417178.06524076,915066.838839774,0.645696445128308
"390610048002",577657.118015081,15000.6241802226,0.0259680417888159
"390610048003",654520.486151531,8028.19174612383,0.0122657608371103
"390610049001",380748.524565067,NA,0
"390610049002",294487.567416433,NA,0
"390610049003",632051.430360362,NA,0
