SNA_NAME,NeighbArea,ParkArea,PropPark
North Avondale - Paddock Hills,1.148687873,0.198399632,0.172718488
Avondale,2.163096655,0.273785294,0.126570994
Bond Hill,1.840849853,0.279993592,0.152100179
California,2.124675846,0.836372773,0.393647235
Camp Washington,1.249374323,0.036936055,0.029563642
Carthage,1.248785422,0.128408416,0.102826645
Clifton,2.23052812,0.547866977,0.245622089
College Hill,3.889331614,0.800907803,0.205924278
Columbia Tusculum,0.531320329,0.167060206,0.314424644
Corryville,0.518814125,0.004951527,0.009543932
CUF,1.591269383,0.28218444,0.177332916
Downtown,0.981464009,0.069032622,0.070336377
East End,1.222146587,0.244063617,0.199700772
East Price Hill,3.005701834,0.417110929,0.138773222
East Walnut Hills,0.710422797,0.046749816,0.065805625
East Westwood,0.659578856,0.069380749,0.105189468
English Woods,0.17838279,0.080875095,0.45337947
Evanston,1.38259696,0.182091773,0.131702715
Hyde Park,2.904665939,0.295340339,0.101677902
Kennedy Heights,1.013407875,0.047709388,0.04707817
Linwood,3.807564043,1.7640175,0.463292929
Lower Price Hill,0.507335908,0.049116754,0.096813084
Madisonville,2.375704003,0.268249278,0.112913594
Millvale,0.44185963,0.133459301,0.302040041
Mt. Adams,0.238096731,0.005916657,0.024849802
Mt. Airy,3.467291311,1.960923702,0.565549164
Mt. Auburn,0.700741643,0.075071445,0.107131417
Mt. Lookout,1.427877653,0.395337431,0.276870662
Mt. Washington,3.305023939,0.702435433,0.212535656
North Fairmount,0.866929776,0.226129888,0.260839914
Northside,1.734317732,0.332405785,0.191663718
Oakley,2.572101009,0.242493541,0.09427839
Over-the-Rhine,0.432297091,0.008673942,0.020064771
Pendleton,0.14965787,0.00038591,0.002578618
Pleasant Ridge,1.693610633,0.175703453,0.103744893
Queensgate,1.497977487,0.018072493,0.012064596
Riverside,3.098286186,0.307872338,0.099368593
Villages at Roll Hill,0.40806203,0.093190967,0.228374513
Roselawn,1.616080993,0.208254122,0.128863666
Sayler Park,1.201882605,0.169250933,0.140821518
Sedamsville,0.311261745,0.141156731,0.453498489
South Cumminsville,0.413348656,0.04805558,0.116259191
South Fairmount,0.538068247,0.020316759,0.037758702
Spring Grove Village,1.94438614,1.210785312,0.622708261
Walnut Hills,1.481835127,0.363205472,0.245105184
West End,0.819243072,0.061590892,0.075180242
Winton Hills,2.133262281,0.357907923,0.167774927
Westwood,5.834206494,1.227088367,0.210326523
West Price Hill,2.719081966,0.453001067,0.16660074
Hartwell,1.223597435,0.011524088,0.009418202
