FID,Status,Score,Match_addr,City,Region,Postal,Addr_type,StreetID,X,Y,ARC_Street,ARC_City,Field1,Name,Address,City2,City1,State,Phone_Numb
3,U,0,,,,,,,-84.229023,39.037029,219 Ohio Pke,Batavia Township,253,GOLD STAR CHILI,219 Ohio Pke,Amelia,Batavia Township,OH,513-753-4471
4,U,0,,,,,,,-84.229767,39.036538,200 Main,Amelia,110,WENDYS COMPANY THE,200 Main,Amelia,Amelia,OH,513-752-1292
7,U,0,,,,,,,-84.091259,38.964669,625 Plane,Bethel,12,MCDONALDS,625 Plane,Bethel,Bethel,OH,513-427-9066
8,U,0,,,,,,,-84.090698,38.964638,621 Plane,Bethel,91,WENDYS OLD FASHIONED HAMBURGERS,621 Plane,Bethel,Bethel,OH,513-734-0794
10,U,0,,,,,,,-84.394042,39.22834,9270 Plainfld Rd,Blue Ash,342,TACO BELL,9270 Plainfld Rd,Blue Ash,Blue Ash,OH,513-984-8390
11,U,0,,,,,,,-84.393163,39.225215,9124 Plainfld Rd,Blue Ash,246,GOLD STAR CHILI,9124 Plainfld Rd,Blue Ash,Blue Ash,OH,513-891-7432
19,U,0,,,,,,,-84.37631,39.233037,9648 Kenwd Rd,Blue Ash,128,STARBUCKS COFFEE,9648 Kenwd Rd,Blue Ash,Blue Ash,OH,513-791-5224
20,U,0,,,,,,,-84.476671,39.197449,7400 Vine,Carthage,230,WHITE CASTLE SYSTEM INCORPORATED,7400 Vine,Carthage,Carthage,OH,513-948-1171
21,U,0,,,,,,,-84.198142,39.844757,3410 York Commons Blvd,Butler Twp,352,TACO BELL,3410 York Commons Blvd,Butler Twp,Butler Twp,OH,937-890-2580
30,U,0,,,,,,,-84.51714,39.100036,250 5th,Cincinnati,310,SUBWAY SANDWICHES SALADS,250 5th,Cincinnati,Downtown Cincinnati,OH,513-381-4108
35,U,0,,,,,,,-84.516945,39.215663,875 W Galbrth Rd,Cincinnati,299,SUBWAY SALADS,875 W Galbrth Rd,Cincinnati,Finneytown,OH,513-521-8700
37,U,0,,,,,,,-84.574476,39.113222,3738 Warwaw Av,Cincinnati,17,MCDONALDS,3738 Warwaw Av,Cincinnati,Price Hill,OH,513-471-2893
49,U,0,,,,,,,-84.512777,39.104249,34 7,Cincinnati,271,SUBWAY,34 7,Cincinnati,Downtown Cincinnati,OH,513-421-1113
76,U,0,,,,,,,-84.265692,39.09689,874 Eastgate Dr,Cincinnati,60,CHICK FIL A OF EASTGATE,874 Eastgate Dr,Cincinnati,Gleneste,OH,513-752-0223
79,U,0,,,,,,,-84.519125,39.216476,912 Galbrth Rd,Cincinnati,65,BROWNSWAY WENDYS,912 Galbrth Rd,Cincinnati,Finneytown,OH,513-827-9238
84,U,0,,,,,,,-84.490056,39.12744,855 Wilm Howard Taft Rd,Cincinnati,69,WENDYS,855 Wilm Howard Taft Rd,Cincinnati,Walnut Hills,OH,513-221-4534
116,U,0,,,,,,,-84.519474,39.128237,202 McMillan,Cincinnati,117,STARBUCKS COFFEE,202 McMillan,Cincinnati,Clifton Heights,OH,513-241-7015
128,U,0,,,,,,,-84.498558,39.128764,Reading & Wm Howard Taft Rds,Cincinnati,231,WHITE CASTLE SYSTEM INCORPORATED,Reading & Wm Howard Taft Rds,Cincinnati,Avondale,OH,513-961-2426
