Score,Match_type,Match_addr,neighborhood,MetroArea,long,lat,county,state,id,facilityname,city,zip,fedfunded,rhc,rural
97.59,A,"1 Mustang Trl, Lawrenceburg, Kentucky, 40342", , ,-84.90080536,38.03946631,Anderson County,KY,181004,ANDERSON COUNTY MIDDLE HEALTHY KIDS CLINIC,Lawrenceburg,40342,Yes,No,Yes
97.89,A,"278 Kenny Davis Blvd, Monticello, Kentucky, 42633", , ,-84.86227555,36.83092649,Wayne County,KY,181942,BELL ELEMENTARY HEALTHY KIDS CLINIC,Monticello,42633,Yes,No,Yes
98.04,A,"5310 Carnegie Ave, Cleveland, Ohio, 44103",Central, ,-81.65218097,41.50154162,Cuyahoga County,OH,361896,CARE ALLIANCE,Cleveland,44103,Yes,No,No
98,A,"2916 Central Ave, Cleveland, Ohio, 44115",Campus District, ,-81.66698749,41.49684146,Cuyahoga County,OH,361071,CARE ALLIANCE HEALTH CENTER,Cleveland,44115,Yes,No,No
98.11,A,"333 Conover Dr, Franklin, Ohio, 45005", , ,-84.27565796,39.55930116,Warren County,OH,361040,CENTERPOINT HEALTH,Franklin,45005,Yes,No,No
98,A,"1740 Langdon Farm Rd, Cincinnati, Ohio, 45237",Bond Hill,Cincinnati Metro Area,-84.46382693,39.1841441,Hamilton County,OH,361948,CINCINNATI HAMILTON COUNTY COMMUNITY ACTION AGENCY,Cincinnati,45237,Yes,No,No
97.91,A,"3909 Kok Rd, Willard, Ohio, 44890", , ,-82.7255115,41.01266548,Huron County,OH,361973,COMMUNITY HEALTH SERVICES - WILLARD,Willard,44890,Yes,No,Yes
80.17,A,"1009 N Main St, Hazard, Kentucky, 41701", , ,-83.19465507,37.25406618,Perry County,KY,181842,CORNER HAVEN CRISIS CENTER,Hazard,41702,Yes,No,Yes
97.68,A,"360 Keen St, Burkesville, Kentucky, 42717", , ,-85.3695105,36.78411069,Cumberland County,KY,181860,CUMBERLAND FAMILY MEDICAL CENTER INC,Burkesville,42717,Yes,No,Yes
98.39,A,"301 Professional Park Dr, Glasgow, Kentucky, 42141", , ,-85.89860871,37.00995667,Barren County,KY,181911,"CUMBERLAND FAMILY MEDICAL CENTER, INC",Glasgow,42141,Yes,No,Yes
97.69,A,"1620 E Main St, Cumberland, Kentucky, 40823", , ,-82.98004593,36.97478082,Harlan County,KY,181985,CUMBERLAND MEDICAL/DENTAL CLINIC,Cumberland,40823,Yes,No,Yes
98.33,A,"1032 E Market St, Warren, Ohio, 44483", , ,-80.80474997,41.23630751,Trumbull County,OH,361989,EAST MARKET STREET WARREN,Warren,44483,No,No,No
92.95,A,Elmwood Place Elementary School, ,Cincinnati Metro Area,-84.48801993,39.18750001,Hamilton County,OH,361933,ELMWOOD PLACE ELEMENTARY,Elmwood Place,45216,Yes,No,No
97.59,A,"1150 Bypass N, Lawrenceburg, Kentucky, 40342", , ,-84.91417088,38.0457322,Anderson County,KY,181001,EMMA B WARD ELEMENTARY HEALTHY KID CLINIC,Lawrenceburg,40342,Yes,No,Yes
97.89,A,"1436 S Shelby St, Louisville, Kentucky, 40217",Merriwether, ,-85.7417299,38.2268936,Jefferson County,KY,181817,FAMILY HEALTH CENTER SHELBY,Louisville,40217,Yes,No,No
93.21,A,"14590 State Route 93, Jackson, Ohio, 45640", , ,-82.62116734,39.02659604,Jackson County,OH,361882,FAMILY HEALTH CENTER-JACKSON,Jackson,45640,No,No,Yes
97.95,A,"702 N Main St, Arcanum, Ohio, 45304", , ,-84.55359527,39.99963527,Darke County,OH,361903,FAMILY HEALTH SERVICES OF DARKE COUNTY,Arcanum,45304,Yes,No,Yes
97.65,A,"10484 Kley Rd, Versailles, Ohio, 45380", , ,-84.46502901,40.22311517,Darke County,OH,361959,"FAMILY HEALTH SERVICES OF DARKE COUNTY, INC",Versailles,45380,Yes,No,Yes
0,M, , , ,-85.3071308,37.0980594,Adair County,KY,181940,ADAIR COUNTY PRIMARY HEALTHYKIDS CLINIC,Columbia,42728,Yes,No,Yes
98.51,A,"1400 S Arlington St, Akron, Ohio, 44306",Firestone Park, ,-81.49142886,41.03371807,Summit County,OH,361860,"AKRON COMMUNITY HEALTH RESOURCES, INC",Akron,44306,Yes,No,No
98.33,A,"360 Wilson Dr, Xenia, Ohio, 45385", , ,-83.92702536,39.69931786,Greene County,OH,361134,FIVE RIVERS HEALTH CENTERS,Xenia,45385,Yes,No,No
98.22,A,"121 Bishop St, Corbin, Kentucky, 40701", , ,-84.10291648,36.94427148,Whitley County,KY,181970,GRACE COMMUNITY HEALTH CENTER INC,Corbin,40701,Yes,No,Yes
98,A,"1075 N Washington St, Greenfield, Ohio, 45123", , ,-83.38677142,39.36178735,Highland County,OH,361808,GREENFIELD FAMILY HEALTH  CENTER,Greenfield,45123,Yes,No,Yes
97.97,A,"2020 Beechmont Ave, Cincinnati, Ohio, 45230",Mount Washington,Cincinnati Metro Area,-84.3863679,39.09062297,Hamilton County,OH,361024,HEALTH SOURCE/ MT WASHINGTON,Cincinnati,45230,Yes,No,No
97.88,A,"1487 N High St, Hillsboro, Ohio, 45133", , ,-83.61047763,39.23192375,Highland County,OH,361115,HIGHLAND HEALTH PROVIDERS CORP,Hillsboro,45133,Yes,No,Yes
98.37,A,"985 Gorge Blvd, Akron, Ohio, 44310",Chapel Hill, ,-81.499314,41.10393475,Summit County,OH,361127,INTERNATIONAL COMMUNITY,Akron,44310,Yes,No,No
98.11,A,"1833 Parsons Ave, Columbus, Ohio, 43207",Reeb-Hosack, ,-82.98439973,39.92562112,Franklin County,OH,361869,JOHN MALONEY SOUTHSIDE FAMILY CENTER,Columbus,43207,No,No,No
98.3,A,"3240 Irvin Cobb Dr, Paducah, Kentucky, 42003", , ,-88.56869948,37.05256771,McCracken County,KY,181913,KENTUCKYCARE 44,Paducah,42003,Yes,No,Yes
85.62,A,"10W Vanceburg Boat Ramp, Vanceburg, Kentucky, 41179", , ,-83.32322916,38.60393847,Lewis County,KY,181818,LEWIS  COUNTY PRIMARY CARE CENTER INC,Vanceburg,41179,No,No,Yes
97.74,A,"520 Elizaville Ave, Flemingsburg, Kentucky, 41041", , ,-83.74388025,38.42004911,Fleming County,KY,181844,LEWIS COUNTY PRIMARY CARE CENTER INC,Flemingsburg,41041,Yes,No,Yes
97.96,A,"650 Newtown Pike, Lexington, Kentucky, 40508",Georgetown, ,-84.49920082,38.06466457,Fayette County,KY,181812,LEXINGTON FAYETTE CO HEALTH DEPT,Lexington,40508,Yes,No,No
98.22,A,"3745 Grove Ave, Lorain, Ohio, 44055", , ,-82.11955625,41.43609701,Lorain County,OH,361885,LORAINE COUNTY HEALTH & DENTISTRY,Lorain,44055,No,No,No
98.04,A,"1251 W Broad St, Columbus, Ohio, 43222",Franklinton, ,-83.03395915,39.9581706,Franklin County,OH,361904,"LOWER LIGHTS CHRISTIAN HEALTH CENTER, INC",Columbus,43222,Yes,No,No
97.78,A,"130 Wayne Frye Dr, Manchester, Ohio, 45144", , ,-83.58852341,38.69388882,Adams County,OH,361050,MANCHESTER FAMILY HEALTH CENTER,Manchester,45144,Yes,No,Yes
97.86,A,"2750 Beekman St, Cincinnati, Ohio, 45225",English Woods,Cincinnati Metro Area,-84.54776042,39.13577273,Hamilton County,OH,361955,MILLVILLE AT HOPPLE HEALTH CENTER,Cincinnati,45225,Yes,No,No
97.93,A,"8146 Hamilton Ave, Cincinnati, Ohio, 45231", ,Cincinnati Metro Area,-84.54730811,39.242041,Hamilton County,OH,361932,MOUNT HEALTHY FAMILY PRACTICE,Cincinnati,45231,Yes,No,No
97.88,A,"1330 Clark St, Cambridge, Ohio, 43725", , ,-81.57690455,40.03938297,Guernsey County,OH,361084,MUSKINGUM VALLEY HEALTH CENTER,Cambridge,43725,Yes,No,Yes
98,A,"11709 Lorain Ave, Cleveland, Ohio, 44111",Jefferson, ,-81.76914146,41.46175733,Cuyahoga County,OH,361091,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44111,Yes,No,No
98.07,A,"3929 Rocky River Dr, Cleveland, Ohio, 44111",Kamm's Corners, ,-81.81733865,41.4481274,Cuyahoga County,OH,361048,NEIGHBORHOOD FAMILY PRACTICE,Cleveland,44111,Yes,No,No
