Score,Match_type,address,City,MetroArea,Subregion,long,lat,state,zip
96.96,A,"725 E Market St, Akron, Ohio, 44305",Akron, ,Summit,-81.49479295,41.07572746,OH,44305
96.7,A,"200 E State St, Alliance, Ohio, 44601",Alliance, ,Stark,-81.10236689,40.90176361,OH,44601
96.77,A,"1220 Greenup Ave, Ashland, Kentucky, 41101",Ashland, ,Boyd,-82.64279475,38.48156356,KY,41101
96.93,A,"3655 Winchester Ave, Ashland, Kentucky, 41101",Ashland, ,Boyd,-82.6157426,38.46304191,KY,41101
96.8,A,"224 Columbus Rd, Athens, Ohio, 45701",Athens, ,Athens,-82.10341195,39.35694147,OH,45701
97.02,A,"1088 Wasserman Way, Batavia, Ohio, 45103",Batavia,Cincinnati Metro Area,Clermont,-84.14767467,39.08075108,OH,45103
96.65,A,"1990 Louisville Rd, #110, Bowling Green, Kentucky, 42101",Bowling Green, ,Warren,-86.41481982,37.00809157,KY,42101
96.97,A,"1341 Market Ave N, Canton, Ohio, 44714",Canton, ,Stark,-81.37161542,40.81123916,OH,44714
96.1,A,"3020 Vernon Pl, Cincinnati, Ohio, 45219",Cincinnati,Cincinnati Metro Area,Hamilton,-84.49895581,39.13409922,OH,45219
95.95,A,"3200 Vine St, Cincinnati, Ohio, 45220",Cincinnati,Cincinnati Metro Area,Hamilton,-84.50936678,39.14010169,OH,45220
96.72,A,"42 E Crescentville Rd, Cincinnati, Ohio, 45246",Cincinnati,Cincinnati Metro Area,Butler,-84.46438006,39.30341327,OH,45246
96.36,A,"3131 Harvey Ave, Cincinnati, Ohio, 45229",Cincinnati, ,Hamilton,-84.49878899,39.13627627,OH,45229
96.36,A,"3009 Burnet Ave, Cincinnati, Ohio, 45219",Cincinnati,Cincinnati Metro Area,Hamilton,-84.50117619,39.1341854,OH,45219
96.3,A,"6460 Harrison Ave, Cincinnati, Ohio, 45247",Cincinnati,Cincinnati Metro Area,Hamilton,-84.65755006,39.19140532,OH,45247
96.58,A,"1730 W 25th St, Cleveland, Ohio, 44113",Cleveland, ,Cuyahoga,-81.70593103,41.487239,OH,44113
96.47,A,"5209 Euclid Ave, Cleveland, Ohio, 44103",Cleveland, ,Cuyahoga,-81.65292579,41.50416242,OH,44103
